signal_time,entry_time,exit_time,direction,entry,stop,target,risk_price,risk_money,units,result,R,gross_pnl,net_pnl,reason,balance_after,equity
2025-06-26 10:35:00+00:00,2025-06-26 10:40:00+00:00,2025-06-26 10:45:00+00:00,SHORT,3345.52,3346.24,3344.0800000000004,0.7199999999997999,110.0139074912366,152.79709373787105,LOSS,-1.0,-110.0139074912366,-110.0139074912366,Above PDH -> green -> red reversal -> break red low,10891.376841632422,10891.376841632422
2025-06-26 11:00:00+00:00,2025-06-26 11:05:00+00:00,2025-06-26 11:15:00+00:00,SHORT,3345.6,3347.2,3342.4,1.599999999999909,108.91376841632422,68.07110526020651,LOSS,-1.0,-108.91376841632422,-108.91376841632422,Above PDH -> green -> red reversal -> break red low,10782.463073216099,10782.463073216099
2025-06-26 11:25:00+00:00,2025-06-26 11:30:00+00:00,2025-06-26 11:40:00+00:00,SHORT,3345.39,3347.33,3341.5099999999998,1.9400000000000546,107.82463073216098,55.57970656296801,LOSS,-1.0,-107.82463073216098,-107.82463073216098,Above PDH -> green -> red reversal -> break red low,10674.638442483938,10674.638442483938
2025-06-26 11:50:00+00:00,2025-06-26 12:00:00+00:00,2025-06-26 12:10:00+00:00,SHORT,3346.47,3348.7,3342.0099999999998,2.230000000000018,106.74638442483938,47.86833382279754,WIN,2.0,213.49276884967875,213.49276884967875,Above PDH -> green -> red reversal -> break red low,10888.131211333617,10888.131211333617
2025-06-26 12:30:00+00:00,2025-06-26 13:05:00+00:00,2025-06-26 15:55:00+00:00,SHORT,3338.74,3345.08,3326.0599999999995,6.3400000000001455,108.88131211333618,17.173708535226133,WIN,2.0,217.76262422667236,217.76262422667236,Above PDH -> green -> red reversal -> break red low,11105.89383556029,11105.89383556029
2025-07-01 01:55:00+00:00,2025-07-01 02:00:00+00:00,2025-07-01 12:25:00+00:00,SHORT,3310.81,3343.39,3245.65,32.57999999999993,111.05893835560289,3.40880719323521,LOSS,-1.0,-111.05893835560289,-111.05893835560289,Above PDH -> green -> red reversal -> break red low,10994.834897204686,10994.834897204686
2025-07-01 06:10:00+00:00,2025-07-03 15:35:00+00:00,2025-07-03 15:40:00+00:00,SHORT,3316.01,3319.39,3309.250000000001,3.3799999999996544,109.94834897204686,32.52909732901127,LOSS,-1.0,-109.94834897204686,-109.94834897204686,Above PDH -> green -> red reversal -> break red low,10884.88654823264,10884.88654823264
2025-07-03 15:45:00+00:00,2025-07-03 15:50:00+00:00,2025-07-03 16:25:00+00:00,LONG,3319.17,3311.69,3334.13,7.480000000000018,108.8488654823264,14.551987363947344,WIN,2.0,217.6977309646528,217.6977309646528,Below PDL -> green reversal -> break green high,11102.584279197294,11102.584279197294
2025-07-03 17:25:00+00:00,2025-07-03 17:30:00+00:00,2025-07-04 10:40:00+00:00,LONG,3327.6,3320.62,3341.56,6.980000000000018,111.02584279197293,15.906281202288344,WIN,2.0,222.05168558394587,222.05168558394587,Below PDL -> green reversal -> break green high,11324.635964781239,11324.635964781239
2025-07-07 03:35:00+00:00,2025-07-07 03:40:00+00:00,2025-07-07 03:45:00+00:00,LONG,3323.11,3321.76,3325.81,1.349999999999909,113.24635964781238,83.88619233171853,WIN,2.0,226.49271929562477,226.49271929562477,Below PDL -> green reversal -> break green high,11551.128684076864,11551.128684076864
